Nest_ID,SP,F_H,Exp.Len,Exp.Days
4,Bobwhite,Failed,90,1
19,Bobwhite,Failed,0,0
34,Bobwhite,Failed,862,4
35,Bobwhite,Failed,1658,6
38,Bobwhite,Failed,400,8
43,Bobwhite,Failed,50,1
48,Bobwhite,Failed,0,0
47,Bobwhite,Failed,0,0
51,Bobwhite,Failed,170,3
55,Bobwhite,Failed,0,0
12,Bobwhite,Hatched,20,1
15,Bobwhite,Hatched,0,0
20,Bobwhite,Hatched,140,2
28,Bobwhite,Hatched,790,5
29,Bobwhite,Hatched,0,0
30,Bobwhite,Hatched,0,0
37,Bobwhite,Hatched,10,1
39,Bobwhite,Hatched,0,0
40,Bobwhite,Hatched,0,0
44,Bobwhite,Hatched,166,4
54,Bobwhite,Hatched,0,0
57,Bobwhite,Hatched,0,0
58,Bobwhite,Hatched,0,0
61,Bobwhite,Hatched,0,0
2,Scaled,Failed,116,1
5,Scaled,Failed,12,1
13,Scaled,Failed,368,1
22,Scaled,Failed,54,1
27,Scaled,Failed,0,0
50,Scaled,Failed,116,2
1,Scaled,Hatched,24,1
3,Scaled,Hatched,168,1
7,Scaled,Hatched,84,1
8,Scaled,Hatched,0,0
10,Scaled,Hatched,0,0
17,Scaled,Hatched,0,0
18,Scaled,Hatched,16,1
25,Scaled,Hatched,6,1
